"Time","Lift Coefficient Monitor: Lift Coefficient Monitor"
1.0,-0.018560870823702134
1.0,-0.025937620222946618
1.0,-0.02402022225692922
1.0,-0.018089586150840314
1.0,-0.010658745957710597
1.0,-0.00252540803762915
1.0,0.0038620274393307763
1.0,0.007157235929932598
1.0,0.008027258047786643
1.0,0.007629878877262508
1.0,0.006945218296775634
1.0,0.006566656262014522
1.0,0.006687166166763584
1.0,0.007223950160556811
1.0,0.007975521265574327
1.0,0.00874813467297798
1.0,0.00941630560211167
1.0,0.009915353324393092
1.0,0.0102315334857822
1.0,0.010381984440731604
1.0,0.010397689549517874
1.0,0.010322238376876089
1.0,0.01020102882119013
1.0,0.010076894342020548
1.0,0.009978753644029947
1.0,0.009924242119076917
1.0,0.009916026445381436
1.0,0.009948569792450467
1.0,0.010007668600602492
1.0,0.010080154642502647
1.0,0.010151990597305795
1.0,0.010215428112142846
1.0,0.010264845202828788
1.0,0.010301526388788326
1.0,0.0103269391506162
1.0,0.010346241936778518
1.0,0.010362166070133743
1.0,0.01037837435613183
1.0,0.010395165066949206
1.0,0.010414420877834646
1.0,0.010434929447425698
1.0,0.010457787913057374
1.0,0.010481412361403632
1.0,0.010506290431035273
1.0,0.010530288529927961
1.0,0.01055393815180077
1.0,0.01057563785975017
1.0,0.010596385443300589
1.0,0.010615058140640652
1.0,0.010633316426014663
1.02,0.010650408207558795
1.04,0.012251987541165958
1.06,0.014841852793310545
1.08,0.018620463060450225
1.1,0.023272241101635654
1.12,0.027978552798478183
1.1400000000000001,0.03148823764251197
1.16,0.03299212306748204
1.18,0.03265967662179915
1.2,0.031155976149506874
1.22,0.030025598454734258
1.24,0.02987339941393942
1.26,0.030642960335398046
1.28,0.03191851034429512
1.3,0.033248375708810174
1.32,0.034330794231398815
1.34,0.03504262404097232
1.3599999999999999,0.03539828361820291
1.38,0.03548248005695131
1.4,0.035402354624565556
1.42,0.03525215844041715
1.44,0.03510318112979708
1.46,0.034995790278721704
1.48,0.03494791780241799
1.5,0.03495598116170907
1.52,0.03500692345324085
1.54,0.03508104038769623
1.56,0.03516184145380311
1.58,0.0352353985941149
1.6,0.03529611183954243
1.62,0.035341318794824335
1.6400000000000001,0.03537427262208572
1.6600000000000001,0.03539766558151757
1.6800000000000002,0.03541656722245948
1.7,0.035433179556416984
1.72,0.03545066135403338
1.74,0.035469191663314706
1.76,0.03549013344094354
1.78,0.03551218786659122
1.8,0.03553556495119889
1.8199999999999998,0.03555839208130989
1.8399999999999999,0.03558067462321097
1.8599999999999999,0.03560067455315299
1.88,0.03561875555072994
1.9,0.03563391549882092
1.92,0.035647169304338935
1.94,0.035658043213809415
1.96,0.035667829864222705
1.98,0.035676171394650416
2.0,0.03568418065245214
2.02,0.03569129515540501
2.04,0.03752428632953249
2.06,0.04040935476819148
2.08,0.044594286228858464
2.1,0.04968809030668334
2.12,0.054570586179525746
2.14,0.05791438907495639
2.16,0.059038463683877176
2.18,0.058337388809478044
2.2,0.05675027612728467
2.22,0.05592390667057849
2.24,0.05631030604010384
2.26,0.05764957878319743
2.2800000000000002,0.05937990184040638
2.3,0.060997268901396694
2.32,0.06221625112645066
2.34,0.06296373101516226
2.36,0.0633052824174015
2.38,0.06336369554141459
2.4,0.0632656520166472
2.42,0.06311139558484045
2.44,0.0629682882855586
2.46,0.06287191479997759
2.48,0.06283491411340943
2.5,0.06285262263463867
2.52,0.06291185976015934
2.54,0.06299477960886736
